plantname, latitude, longitude
Arkansas Nuclear One,35.311,-93.2351
Beaver Valley,40.6219,-80.4336
Braidwood Generation Station,41.2435,-88.2286
Browns Ferry,34.7042,-87.1189
Brunswick Nuclear,33.9597,-78.0114
Byron Generating Station,42.0742,-89.2819
Callaway,38.7589,-91.7788
Calvert Cliffs Nuclear Power Plant,38.4344,-76.4417
Catawba,35.0514,-81.0694
Clinton Power Station,40.1719,-88.8339
Columbia Generating Station,46.4711,-119.3339
Comanche Peak,32.2984,-97.7855
Cooper Nuclear Station,40.3628,-95.6408
Davis Besse,41.5967,-83.0861
Diablo Canyon,35.2115,-120.8555
Donald C Cook,41.9756,-86.5652
Dresden Generating Station,41.39,-88.27
Duane Arnold Energy Center,42.1011,-91.7781
Edwin I Hatch,31.9342,-82.3447
Fermi,41.9631,-83.2581
Grand Gulf,32.0081,-91.0478
H B Robinson,34.4017,-80.1589
Harris,35.6334,-78.9556
Indian Point 2,41.2706,-73.9527
Indian Point 3,41.2706,-73.9526
James A Fitzpatrick,43.5214,-76.4084
Joseph M Farley,31.2231,-85.1116
LaSalle Generating Station,41.2455,-88.6691
Limerick,40.2243,-75.5874
McGuire,35.4331,-80.9486
Millstone,41.3107,-72.1677
Monticello Nuclear Facility,45.3338,-93.8493
Nine Mile Point Nuclear Station,43.5211,-76.41
North Anna,38.06,-77.7897
Oconee,34.7939,-82.8986
Oyster Creek,39.8143,-74.2062
PSEG Hope Creek Generating Station,39.4666,-75.5377
PSEG Salem Generating Station,39.4625,-75.5358
Palisades,42.323,-86.3146
Palo Verde,33.3881,-112.8617
Peach Bottom,39.7589,-76.2687
Perry,41.8006,-81.1439
Pilgrim Nuclear Power Station,41.9438,-70.578
Point Beach Nuclear Plant,44.2806,-87.5369
Prairie Island,44.622,-92.6333
Quad Cities Generating Station,41.7261,-90.3103
R E Ginna Nuclear Power Plant,43.2777,-77.3099
River Bend,30.757,-91.3327
Seabrook,42.8992,-70.8489
Sequoyah,35.2267,-85.0917
South Texas Project,28.795,-96.0481
St Lucie,27.3486,-80.2464
Surry,37.1661,-76.6986
TalenEnergy Susquehanna,41.0919,-76.1462
Three Mile Island,40.1515,-76.7232
Turkey Point,25.4356,-80.3308
V C Summer,34.2983,-81.3153
Vogtle,33.1427,-81.7625
Waterford 3,29.9953,-90.4716
Watts Bar Nuclear Plant,35.6021,-84.7895
Wolf Creek Generating Station,38.2393,-95.6898
